comments,star
和第一部相比有质的飞跃 真正把故事讲到了观众心里  产生飞跃的原因主要来自讲故事方式的改变 第一部主角是小狗 讲它如何轮回几世遇到不同的主人 与不同主人一同生活 最后回到最初主人身边的故事 每一个故事看似很感人 但因篇幅有限 狗每一世和主人如何从相遇到离别都讲得很简略粗糙 以至于观众感受不到狗和主人之间的感情联结 就像看MV 产生不了代入感 而第二部 小狗的主人才是主角 小狗见证了这个主人从咿呀学语到结婚生子的整个过程 包括她糟糕的初恋 和母亲及祖父母的亲情变化直至最后认识到爱人就在身边的几个重要情感结点 观众看到的是一个人完整的成长过程 并且小狗这次的内心独白起到了画龙点睛的作用 而不再是刻意卖萌 也为故事增加了观赏性和愉悦感  对于喜欢宠物或喜欢温情故事的朋友 这部影片不容错过 ,4
刘宪华的演技太尴尬了   ,3
这只狗终于完成了使命 不然代代传递下去一直当狗也挺不容易的  刘宪华好帅啊是我的菜 ,3
狗生的四段旅程 再次献给爱狗人士 对于动物的爱配合片中人生的挫折和机遇 让情感上得到共鸣 在诸多爱狗片中 这样处理是最好的 如果还能记得去年同样是五月中的Show Dogs的话 这种感受更明显 ,2
这里的大华像邓伦 这里的狗比人演得好,3
像是为了洽烂钱强行搞出的第二部 剧情也比第一部差远了 虽然第一部也一般 ,2
我用四輩子 守護你全家一輩子 非常好哭的電影  ,4
续集延续了上一部的故事和叙述方式 所以让人有一种 不思进取 的感觉 不过加入爱情元素作为核心倒算是一个不同之处 整体上 一条狗的使命2 依然很感人 尤其对于铲屎官群体来说很多地方让人鼻子发酸 不过这种煽情的频率有点高到贩卖爱狗人士情结的嫌疑 作为续集 基本上小心翼翼地延续了前作的故事核心和理念 至少你能看到很多可爱又漂亮的狗子 ,3
重复也许会让续集掉价 温情偏偏可以千百遍融化你 只要伊森还在 狗老大就能无限次重来 回到伊森身边 这次保护的是伊森的孙女 这是伊森交给它的使命 它可以有很多名字 时而高大 时而娇小 但它始终如一 是一条忠实的不离不弃的狗 ,4
一星剧情 两星演技 额外一星是给狗子的 ,3
